denomination,number_mp,num_observations,osc_epoch,semi_major_axis,eccentricity,inclination,long_asc_node,arg_perihelion,mean_anomaly,x_au,y_au,z_au,vx_au_day,vy_au_day,vz_au_day,heliocentric_distance_au,velocity_magnitude_au_day
nigricollis,8751,583,2229.0,2.896035774223374,0.04708779958219572,0.043906527145778806,2.598201730989118,2.5210796828661444,2.635417238183316,0.16714843785854605,2.8079880422534162,1.0899042262614778,-0.009663991041559907,0.0006188369828708247,0.0004765281528238973,3.01672449324418,0.009695502108872576
asaramas,4756,581,2202.0,3.019357105287312,0.06401430719952286,0.16059743287488093,4.178630841101577,0.04137952334911151,2.6075609008182785,2.6073611981671023,1.5878300189205004,0.9209610171424201,-0.004992300662768234,0.007691431345672478,0.001874897855054513,3.1886840203739952,0.009359296128425327
slade,8074,580,2127.0,2.7863203206753853,0.15012414368682026,0.13495592636188403,4.729026123644907,2.4787414150833285,-2.2115001186059167,0.2108229827054241,-2.820051517029445,-1.1989896198606609,0.00906589840655047,0.0010331426908737062,0.001793520309750729,3.0715977922362323,0.009299172696486955
nielsabel,8525,576,2192.0,2.405243230479639,0.1625330809021357,0.05345576889185821,1.4496014524144716,1.3525820366474044,-1.2501632340817312,0.7861730789619759,2.0357032872676832,0.8526324859830913,-0.011180433705281247,0.0016400578296358725,0.0013727600667761512,2.3428909791176182,0.011383161148102672
donskoj,5613,575,2139.0,3.111816630733172,0.1687279447820422,0.02868276287279059,0.18226131718688343,0.7989408770721108,0.9251733566062817,-1.7067929660983936,2.076644744686809,0.98059804663735,-0.009327755448266056,-0.004525818099478165,-0.002062237667473954,2.861322797907863,0.01057085026709629
oburka,15870,574,2156.0,2.6384268022500703,0.1681824838978496,0.19890603702372278,3.6448819253163123,1.4986783164687618,-2.750353000108631,-1.9767665749311931,2.305093579464609,0.355660667176788,-0.0064912929716136976,-0.005921840940923727,-0.0020524849150382056,3.0573774729383354,0.009023180087939129
novotna,5897,569,2231.0,2.576967102710908,0.18087037569836503,0.05548164079484463,5.403060486706437,1.5557040802246553,-2.8861928661754197,-1.9836077006825332,-2.0326196241854464,-1.0620117303648202,0.006995112396840535,-0.00518221633782194,-0.0021364938495380646,3.032179243096178,0.008963903702379603
wightman,5161,566,2167.0,2.8474861424304883,0.08073818407560435,0.026374118301706995,3.5297258507779388,2.6796098035557803,2.2559343921085744,-1.9991375330301968,2.0848373607716355,0.8225175209751996,-0.007570699974120856,-0.005519101422618763,-0.0023159231796238537,3.003270345664953,0.009650879689708345
diluca,10579,566,2233.0,3.059144934999132,0.06135003647622333,0.15521731215441537,4.458655276199788,-2.597849640033462,2.378298199386087,-1.220300140313221,-2.6859410003003634,-1.239349866636891,0.008415658649794908,-0.004163574746392449,-0.0002480355501848229,3.1999061832303557,0.009392560184146827
premadi,12937,565,2231.0,2.6190238061095097,0.1812169877534153,0.19385188917609897,5.0669695103793035,-1.8588678126767515,-2.602310243305733,2.6872507952950246,0.9664690355130582,1.0553084878447474,-0.0045500287604524564,0.0072648276413835155,0.0028150269492753727,3.0445123152873683,0.009022464137091435
neruda,1875,563,2261.0,3.13296598409475,0.1682630655614386,0.23367017409215496,3.3830637475004393,2.424103445854229,2.5941594978163023,-2.2866098566847426,2.7581921833378775,0.3785816718125504,-0.006830925498606555,-0.004649711376191093,-0.0012407363379247061,3.6027118729016303,0.008355883299187518
blueglass,23061,563,2205.0,3.1195524704832036,0.11854636963065046,0.03181691451700952,0.3478656532576956,2.4082198993560184,-1.9785258279326177,2.7726683724423595,1.6331121500557033,0.7336340437980821,-0.005757016354077743,0.006457444506546025,0.0031011676268190478,3.3004490767804997,0.009190161451567133
poor,13227,559,2189.0,3.1574629030819334,0.10415940665193434,0.0915802205628582,6.227208410720968,-3.1187254895482286,-1.7180983038818705,1.2041914172058819,2.634333624015304,1.4479801799518237,-0.009068930410351748,0.002308891643883494,0.0012100516039622044,3.2382768895545717,0.009436138208782726
burdett,3583,558,2193.0,2.4332485579866665,0.17555972059191344,0.0488333984915863,0.5802269338609181,0.5417934793932927,-2.3596614374921554,0.33181529088083567,-2.4701131496714916,-1.2028934172667114,0.009346163667834372,0.002087854491578673,0.0007305529815018627,2.7674018379602803,0.00960435418665585
ulamec,11818,552,2228.0,2.9934619517674084,0.09741541868994268,0.014265738268818717,4.896590972936462,1.328831113970764,1.4724982778905396,-0.11653392629652745,2.741665007414572,1.1953938071832728,-0.009925273846335186,0.0005896060462268608,0.00010555898627856119,2.9932045575121906,0.009943331379073952
